PERMNO,date,TICKER,PRC,VOL,RET
90448,2019-01-02,GLD,121.33000,12776155,0.000660
90448,2019-01-03,GLD,122.43000,15440840,0.009066
90448,2019-01-04,GLD,121.44000,13334368,-0.008086
90448,2019-01-07,GLD,121.86000,7473641,0.003458
90448,2019-01-08,GLD,121.53000,7643363,-0.002708
90448,2019-01-09,GLD,122.31000,10555933,0.006418
90448,2019-01-10,GLD,121.59000,6672058,-0.005887
90448,2019-01-11,GLD,121.80000,8622666,0.001727
90448,2019-01-14,GLD,122.09000,6477072,0.002381
90448,2019-01-15,GLD,121.88000,7512779,-0.001720
90448,2019-01-16,GLD,122.27000,6878137,0.003200
90448,2019-01-17,GLD,122.11000,8558523,-0.001309
90448,2019-01-18,GLD,121.02000,10896307,-0.008926
90448,2019-01-22,GLD,121.45000,7896668,0.003553
90448,2019-01-23,GLD,121.28000,5224918,-0.001400
90448,2019-01-24,GLD,121.09000,5662490,-0.001567
90448,2019-01-25,GLD,122.86000,11103309,0.014617
90448,2019-01-28,GLD,123.29000,8522178,0.003500
90448,2019-01-29,GLD,123.98000,11610204,0.005597
90448,2019-01-30,GLD,124.69000,12103963,0.005727
90448,2019-01-31,GLD,124.75000,10209516,0.000481
90448,2019-02-01,GLD,124.50000,12485496,-0.002004
90448,2019-02-04,GLD,123.96000,6879187,-0.004337
90448,2019-02-05,GLD,124.28000,6291367,0.002581
90448,2019-02-06,GLD,123.44000,6595100,-0.006759
90448,2019-02-07,GLD,123.74000,5935456,0.002430
90448,2019-02-08,GLD,124.21000,4235221,0.003798
90448,2019-02-11,GLD,123.60000,4821904,-0.004911
90448,2019-02-12,GLD,123.86000,4271869,0.002104
90448,2019-02-13,GLD,123.37000,7640509,-0.003956
90448,2019-02-14,GLD,124.06000,6276529,0.005593
90448,2019-02-15,GLD,124.80000,12190104,0.005965
90448,2019-02-19,GLD,126.70000,15614028,0.015224
90448,2019-02-20,GLD,126.48000,8889665,-0.001736
90448,2019-02-21,GLD,125.05000,8634596,-0.011306
90448,2019-02-22,GLD,125.50000,5439375,0.003599
90448,2019-02-25,GLD,125.37000,4882615,-0.001036
90448,2019-02-26,GLD,125.58000,5153511,0.001675
90448,2019-02-27,GLD,124.69000,7935647,-0.007087
90448,2019-02-28,GLD,123.99000,7811731,-0.005614
90448,2019-03-01,GLD,121.88000,16411743,-0.017018
90448,2019-03-04,GLD,121.56000,10272586,-0.002626
90448,2019-03-05,GLD,121.72000,7120090,0.001316
90448,2019-03-06,GLD,121.61000,4820443,-0.000904
90448,2019-03-07,GLD,121.51000,6088768,-0.000822
90448,2019-03-08,GLD,122.84000,10427747,0.010946
90448,2019-03-11,GLD,122.24000,6708655,-0.004884
90448,2019-03-12,GLD,122.98000,6289860,0.006054
90448,2019-03-13,GLD,123.84000,7377297,0.006993
90448,2019-03-14,GLD,122.41000,6778443,-0.011547
90448,2019-03-15,GLD,122.97000,9412061,0.004575
90448,2019-03-18,GLD,123.04000,7783205,0.000569
90448,2019-03-19,GLD,123.38000,6558693,0.002763
90448,2019-03-20,GLD,124.18000,11304912,0.006484
90448,2019-03-21,GLD,123.68000,7739775,-0.004026
90448,2019-03-22,GLD,123.97000,5874016,0.002345
90448,2019-03-25,GLD,124.92000,7288343,0.007663
90448,2019-03-26,GLD,124.30000,5056224,-0.004963
90448,2019-03-27,GLD,123.65000,6595016,-0.005229
90448,2019-03-28,GLD,121.90000,11878328,-0.014153
90448,2019-03-29,GLD,122.01000,7094201,0.000902
90448,2019-04-01,GLD,121.53000,13559963,-0.003934
90448,2019-04-02,GLD,121.98000,4474953,0.003703
90448,2019-04-03,GLD,121.80000,6152734,-0.001476
90448,2019-04-04,GLD,122.11000,7508760,0.002545
90448,2019-04-05,GLD,121.98000,5114493,-0.001065
90448,2019-04-08,GLD,122.51000,4271034,0.004345
90448,2019-04-09,GLD,123.15000,4648392,0.005224
90448,2019-04-10,GLD,123.53000,6344767,0.003086
90448,2019-04-11,GLD,121.95000,11694503,-0.012790
90448,2019-04-12,GLD,121.83000,5272844,-0.000984
90448,2019-04-15,GLD,121.60000,4252774,-0.001888
90448,2019-04-16,GLD,120.51000,10097802,-0.008964
90448,2019-04-17,GLD,120.28000,4693864,-0.001909
90448,2019-04-18,GLD,120.37000,4090401,0.000748
90448,2019-04-22,GLD,120.37000,2251185,0.000000
90448,2019-04-23,GLD,120.12000,5574897,-0.002077
90448,2019-04-24,GLD,120.47000,4173034,0.002914
90448,2019-04-25,GLD,120.57000,4836857,0.000830
90448,2019-04-26,GLD,121.37000,6022715,0.006635
90448,2019-04-29,GLD,120.83000,4469721,-0.004449
90448,2019-04-30,GLD,121.20000,4758567,0.003062
90448,2019-05-01,GLD,120.40000,12331836,-0.006601
90448,2019-05-02,GLD,119.94000,6759844,-0.003821
90448,2019-05-03,GLD,120.65000,8414504,0.005920
90448,2019-05-06,GLD,120.81000,3479563,0.001326
90448,2019-05-07,GLD,121.21000,4010654,0.003311
90448,2019-05-08,GLD,120.91000,4178965,-0.002475
90448,2019-05-09,GLD,121.20000,5015785,0.002398
90448,2019-05-10,GLD,121.43000,4586301,0.001898
90448,2019-05-13,GLD,122.67000,11130908,0.010212
90448,2019-05-14,GLD,122.46000,5556105,-0.001712
90448,2019-05-15,GLD,122.39000,10298968,-0.000572
90448,2019-05-16,GLD,121.51000,6349454,-0.007190
90448,2019-05-17,GLD,120.65000,6589382,-0.007078
90448,2019-05-20,GLD,120.64000,4345803,-0.000083
90448,2019-05-21,GLD,120.36000,3845702,-0.002321
90448,2019-05-22,GLD,120.24000,3741805,-0.000997
90448,2019-05-23,GLD,121.17000,6054721,0.007735
90448,2019-05-24,GLD,121.30000,2324653,0.001073
90448,2019-05-28,GLD,120.83000,4303495,-0.003875
90448,2019-05-29,GLD,120.87000,4133202,0.000331
90448,2019-05-30,GLD,121.69000,7757033,0.006784
90448,2019-05-31,GLD,123.33000,15367001,0.013477
90448,2019-06-03,GLD,125.11000,14173636,0.014433
90448,2019-06-04,GLD,125.15000,7997062,0.000320
90448,2019-06-05,GLD,125.47000,7637880,0.002557
90448,2019-06-06,GLD,125.88000,5551778,0.003268
90448,2019-06-07,GLD,126.59000,8145853,0.005640
90448,2019-06-10,GLD,125.33000,5409983,-0.009953
90448,2019-06-11,GLD,125.18000,4757841,-0.001197
90448,2019-06-12,GLD,125.83000,5756153,0.005193
90448,2019-06-13,GLD,126.60000,5374818,0.006119
90448,2019-06-14,GLD,126.56000,9226446,-0.000316
90448,2019-06-17,GLD,126.48000,4763345,-0.000632
